exposure_mode,species,model,parameter,perturbation,endpoint,baseline,perturbed,abs_change,pct_change,elasticity,censored
per_mic,S. aureus,two-compartment mechanistic,k_SP,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,k_SP,-10%,time_to_LOD_h,18.994289893679966,18.846336462597492,-0.14795343108247394,-0.7789363640896256,0.07789363640896257,False
per_mic,S. aureus,two-compartment mechanistic,k_SP,-10%,MDK99_h,8.869793023801135,8.866503772006965,-0.003289251794170056,-0.037083749139846925,0.0037083749139846934,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,+10%,log10_drop_240h,306.0,306.0,0.0,0.0,0.0,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,+10%,time_to_LOD_h,18.994289893679966,18.781394660855913,-0.21289523282405298,-1.1208380729984033,-0.11208380729984022,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,+10%,MDK99_h,8.869793023801135,8.867682401964787,-0.0021106218363478035,-0.02379561541835505,-0.0023795615418355028,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,-10%,log10_drop_240h,306.0,306.0,0.0,0.0,-0.0,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,-10%,time_to_LOD_h,18.994289893679966,19.256535468746804,0.26224557506683865,1.3806547995989917,-0.13806547995989918,False
per_mic,S. aureus,two-compartment mechanistic,k_PS,-10%,MDK99_h,8.869793023801135,8.872083413166054,0.0022903893649193208,0.025822354126790868,-0.002582235412679087,False
absolute,Mtb,two-compartment mechanistic,r,+10%,log10_drop_240h,3.7817064867196795,3.8053808151797184,0.023674328460038918,0.6260223669704853,0.06260223669704847,False
absolute,Mtb,two-compartment mechanistic,r,+10%,time_to_LOD_h,280.4723269334657,276.0833046819952,-4.3890222514705215,-1.564868199104611,-0.15648681991046096,False
absolute,Mtb,two-compartment mechanistic,r,+10%,MDK99_h,25.354753407436114,25.657557264563643,0.3028038571275289,1.1942685943801044,0.11942685943801033,False
absolute,Mtb,two-compartment mechanistic,r,-10%,log10_drop_240h,3.7817064867196795,3.7554590533497314,-0.02624743336994806,-0.6940632082929196,0.06940632082929196,False
absolute,Mtb,two-compartment mechanistic,r,-10%,time_to_LOD_h,280.4723269334657,285.3383502515866,4.866023318120881,1.7349388338319776,-0.1734938833831978,False
absolute,Mtb,two-compartment mechanistic,r,-10%,MDK99_h,25.354753407436114,25.075534526333193,-0.2792188811029206,-1.1012486558872645,0.11012486558872647,False
absolute,Mtb,two-compartment mechanistic,Emax_S,+10%,log10_drop_240h,3.7817064867196795,3.7930421097622924,0.01133562304261293,0.299748885388661,0.02997488853886607,False
absolute,Mtb,two-compartment mechanistic,Emax_S,+10%,time_to_LOD_h,280.4723269334657,278.36875819031206,-2.1035687431536303,-0.750009373884734,-0.07500093738847334,False
absolute,Mtb,two-compartment mechanistic,Emax_S,+10%,MDK99_h,25.354753407436114,22.744939644087715,-2.6098137633483987,-10.293193238404697,-1.029319323840469,False
