exposure_mode,species,endpoint,parameter,S1_first_order,S1_boot_lo,S1_boot_hi,ST_boot_lo,ST_boot_hi,ST_total,interaction_ST_minus_S1,output_variance,n_base_samples
absolute,S. aureus,log10_drop_240h,H,-0.03342928020435436,-0.07128040162589369,0.005771661963529676,0.41237922230832325,0.4641788604412952,0.4379124737577407,0.47134175396209504,21672.71873093076,4096
absolute,S. aureus,log10_drop_240h,k_SP,0.02856648148012468,-0.0066347815409298384,0.06462275971649427,0.324949162312508,0.37134578172495036,0.3481584811914691,0.3195919997113444,21672.71873093076,4096
absolute,S. aureus,log10_drop_240h,k_PS,0.2881874007257691,0.23666737738954577,0.3419934490729719,0.7092898848424931,0.7680961415383152,0.7395417065433983,0.45135430581762925,21672.71873093076,4096
absolute,S. aureus,time_to_LOD_h,r,0.19743793374452911,0.14452129580500375,0.25205107758585144,0.6898163316402879,0.8278462225468879,0.7584754938427474,0.5610375600982183,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,Emax_S,0.19777728132387046,0.1434996763572952,0.2543116442069161,0.7090046106465752,0.8474706838158781,0.7760338325677804,0.57825655124391,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,Emax_P,-3.124160229004124e-05,-7.760573688657295e-05,1.5896377520743153e-05,1.0990247719549949e-06,1.4526360619019026e-06,1.2631700813401388e-06,3.2504772371381376e-05,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,EC50,0.010743756007669539,-0.0017129224583116427,0.026636912072968668,0.07587937200359565,0.12234197041310936,0.09756150661092093,0.08681775060325139,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,H,0.015572616358190731,0.0005433069454948135,0.03352333070084918,0.14706363203542003,0.2128382502457273,0.17948519892579123,0.1639125825676005,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,k_SP,2.9520497798003622e-05,-9.47403296227818e-05,0.0001492638169657138,4.6146466550941996e-06,6.065717660752601e-06,5.300013793566778e-06,-2.4220484004436846e-05,228515.69154152877,4096
absolute,S. aureus,time_to_LOD_h,k_PS,-8.590512810393739e-06,-0.00011921634903297442,9.796240288271922e-05,5.9370566103581495e-06,7.683562814262543e-06,6.746161055251742e-06,1.533667386564548e-05,228515.69154152877,4096
