alpha,replicate,simulation_id,final_mic,extinct
5e-05,19,191,16.07106952732361,False
5e-05,20,201,12.257772165163088,False
0.01,19,195,28.41865430600125,False
0.01,20,205,2.0,False
0.003,20,204,11.660410543019234,False
1e-05,20,200,19.93510791241804,False
0.0009576,20,203,14.516736268039693,False
0.8,18,189,12.667435889609687,False
0.03,19,196,15.008494443119393,False
0.0009576,19,193,18.08705206522402,False
0.3,19,198,10.480331174693681,False
0.1,19,197,13.775423631653865,False
0.0001,20,202,20.504622837490366,False
0.0009576,21,213,2.0,False
0.03,20,206,15.752892331222359,False
0.8,19,199,13.635774598751588,False
0.0001,21,212,22.432726322049305,False
0.003,21,214,20.974189926924428,False
5e-05,21,211,16.445389295548317,False
1e-05,21,210,17.741224111977317,False
0.1,21,217,5.827950081853594,False
0.03,21,216,16.018428715412895,False
0.01,21,215,15.240896225834168,False
0.1,20,207,21.91887896688269,False
0.3,20,208,10.568279157221799,False
0.8,20,209,11.449922302874507,False
0.3,21,218,32.99138010503101,False
0.8,21,219,8.257808653403675,False
