Time,Temp,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9
10:00:00,36.9,0.086,0.087,0.089,0.094,0.087,0.088,0.088,0.087,0.087,0.087,0.086,0.086,0.091,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.088,0.086,0.087,0.087,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.09,0.092,0.092,0.091,0.088,0.089,0.088,0.091,0.093,0.093,0.093,0.092,0.089,0.157,0.201,0.212,0.268,0.285,0.167,0.197,0.172,0.553,0.59,0.561,0.605,0.645,0.587,0.537,0.63,0.087,0.086,0.087,0.087,0.089,0.088,0.089,0.087
10:20:00,36.9,0.086,0.088,0.089,0.094,0.087,0.088,0.088,0.087,0.087,0.087,0.086,0.086,0.091,0.089,0.092,0.088,0.087,0.087,0.088,0.089,0.091,0.09,0.091,0.088,0.086,0.087,0.087,0.088,0.091,0.092,0.09,0.087,0.087,0.088,0.09,0.09,0.092,0.092,0.092,0.088,0.089,0.088,0.091,0.093,0.094,0.093,0.092,0.089,0.148,0.186,0.196,0.246,0.257,0.155,0.183,0.155,0.548,0.588,0.555,0.596,0.637,0.571,0.526,0.625,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.088
10:40:00,37,0.085,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.087,0.086,0.087,0.086,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.087,0.089,0.088,0.091,0.093,0.093,0.092,0.091,0.089,0.137,0.171,0.18,0.216,0.242,0.144,0.168,0.14,0.54,0.581,0.549,0.587,0.63,0.559,0.516,0.621,0.087,0.086,0.087,0.087,0.089,0.089,0.089,0.087
11:00:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.092,0.088,0.086,0.087,0.088,0.088,0.092,0.09,0.091,0.087,0.086,0.087,0.087,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.09,0.092,0.092,0.091,0.087,0.089,0.088,0.091,0.093,0.094,0.093,0.092,0.089,0.131,0.158,0.168,0.195,0.227,0.136,0.157,0.13,0.536,0.582,0.541,0.579,0.622,0.546,0.505,0.615,0.088,0.086,0.087,0.087,0.089,0.088,0.09,0.087
11:20:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.092,0.088,0.086,0.087,0.088,0.089,0.091,0.09,0.091,0.087,0.086,0.087,0.086,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.087,0.089,0.087,0.091,0.093,0.093,0.092,0.091,0.089,0.123,0.148,0.157,0.182,0.214,0.128,0.147,0.122,0.528,0.574,0.537,0.573,0.616,0.531,0.495,0.611,0.088,0.086,0.086,0.087,0.089,0.089,0.089,0.087
11:40:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.092,0.09,0.09,0.087,0.086,0.087,0.086,0.088,0.09,0.091,0.09,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.087,0.088,0.087,0.09,0.093,0.092,0.092,0.091,0.088,0.119,0.14,0.151,0.175,0.203,0.124,0.139,0.117,0.526,0.576,0.533,0.567,0.61,0.52,0.487,0.608,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.088
12:00:00,37,0.086,0.087,0.089,0.093,0.087,0.088,0.087,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.091,0.088,0.086,0.087,0.088,0.088,0.091,0.09,0.09,0.087,0.086,0.086,0.086,0.088,0.091,0.091,0.09,0.086,0.086,0.087,0.089,0.09,0.091,0.092,0.091,0.087,0.088,0.087,0.09,0.093,0.093,0.092,0.091,0.088,0.116,0.136,0.144,0.168,0.19,0.119,0.133,0.113,0.524,0.571,0.529,0.562,0.603,0.509,0.479,0.604,0.087,0.086,0.086,0.087,0.089,0.088,0.089,0.087
12:20:00,37,0.087,0.087,0.089,0.094,0.087,0.088,0.088,0.088,0.086,0.087,0.086,0.086,0.091,0.088,0.092,0.088,0.087,0.087,0.088,0.089,0.092,0.09,0.091,0.088,0.086,0.087,0.087,0.088,0.091,0.091,0.09,0.086,0.087,0.087,0.089,0.09,0.092,0.092,0.091,0.088,0.089,0.087,0.091,0.093,0.093,0.093,0.091,0.089,0.114,0.132,0.141,0.163,0.182,0.116,0.127,0.11,0.524,0.571,0.525,0.555,0.598,0.502,0.473,0.603,0.088,0.087,0.087,0.087,0.089,0.089,0.089,0.088
12:40:00,37,0.086,0.087,0.089,0.094,0.087,0.088,0.088,0.087,0.086,0.087,0.086,0.086,0.09,0.088,0.092,0.088,0.086,0.087,0.088,0.089,0.091,0.09,0.091,0.088,0.086,0.087,0.086,0.088,0.091,0.092,0.09,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.087,0.088,0.088,0.09,0.093,0.093,0.092,0.091,0.088,0.113,0.129,0.138,0.157,0.173,0.113,0.124,0.108,0.524,0.569,0.523,0.552,0.593,0.492,0.468,0.6,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.088
13:00:00,37,0.086,0.087,0.089,0.094,0.088,0.088,0.088,0.087,0.086,0.087,0.087,0.086,0.091,0.088,0.091,0.088,0.087,0.087,0.088,0.089,0.092,0.09,0.091,0.087,0.086,0.087,0.087,0.088,0.091,0.092,0.09,0.086,0.087,0.087,0.089,0.089,0.091,0.092,0.091,0.087,0.089,0.087,0.09,0.093,0.093,0.092,0.091,0.088,0.111,0.127,0.135,0.151,0.167,0.111,0.12,0.106,0.525,0.569,0.519,0.547,0.588,0.487,0.462,0.6,0.088,0.086,0.087,0.087,0.089,0.089,0.089,0.088
