dataset,organism,state,state_numeric,drug,dose_value,dose_unit,dose_xmic,unit_group,n0_log10,time_days,y_log10,censored,limit_log10,notes,isolate_index,sample_id,mpn_raw,MIC_INH,MIC_RIF,INH-Suceptibility,Time_to_0.4,Time_point,Tolerant_level_D5_15,Tolerant_level_D5_60
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_013_age15d,4.361727836017593,5.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,13,IR13,2300.0,1.6,0.12,IR,15.0,0M,High,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_014_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,14,IR14,230000.0,1.6,0.06,IR,22.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_014_age15d,5.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,14,IR14,2300.0,1.6,0.06,IR,22.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_014_age15d,5.361727836017593,5.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,14,IR14,2300.0,1.6,0.06,IR,22.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_015_age15d,4.361727836017593,0.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,15,IR15,23000.0,1.6,0.06,IR,24.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_015_age15d,4.361727836017593,2.0,3.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,15,IR15,2300.0,1.6,0.06,IR,24.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_015_age15d,4.361727836017593,5.0,2.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,15,IR15,230.0,1.6,0.06,IR,24.0,0M,Medium,Medium
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_016_age15d,5.361727836017593,0.0,5.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,16,IR16,230000.0,3.2,0.06,IR,19.0,0M,High,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_016_age15d,5.361727836017593,2.0,3.785329835010767,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,16,IR16,6100.0,3.2,0.06,IR,19.0,0M,High,High
vijay2024_elife93243,M. tuberculosis,culture_age_15d,15.0,rifampicin,,,,vijay_016_age15d,5.361727836017593,5.0,4.361727836017593,False,1.3617278360175928,MPN/mL; RIF concentration not recorded in deposit,16,IR16,23000.0,3.2,0.06,IR,19.0,0M,High,High
