deposit,unit_group,state_label,drug,dose_value,dose_unit,early_rate_median_log10_per_day,early_rate_q05_log10_per_day,early_rate_q95_log10_per_day,terminal_rate_median_log10_per_day,terminal_rate_q05_log10_per_day,terminal_rate_q95_log10_per_day,early_rate_median_log10_per_hour,terminal_rate_median_log10_per_hour,ratio_early_over_terminal,P_terminal_rate_le_0,rate_units,corpus_windels_early_rate_log10_per_hour_min,corpus_windels_early_rate_log10_per_hour_max,corpus_windels_terminal_rate_log10_per_hour_p10,corpus_windels_terminal_rate_log10_per_hour_p90,corpus_windels_n_terminal_series,corpus_windels_terminal_vs_nutrient_spearman,corpus_windels_terminal_vs_nutrient_p,corpus_windels_terminal_vs_log10dose_spearman,corpus_windels_terminal_vs_log10dose_p,corpus_era4tb_treated_100uL_series_with_ge3_uncensored,corpus_era4tb_n_terminal_rate_non_positive,corpus_era4tb_P_terminal_rate_le_0_empirical,corpus_era4tb_non_positive_by_arm,corpus_era4tb_n_rebound_gt_1_log10_from_nadir,corpus_era4tb_n_rebound_gt_2_log10_from_nadir
era4tb,era4tb_A_MXF1x_r3,standard,moxifloxacin,1.0,xMIC,-0.10726506156325695,-0.3276799048971529,-0.018318640030041095,-0.1256300492653834,-0.21117311476174655,-0.020189871083094453,-0.0044693775651357065,-0.0052345853860576415,0.85381691872673,0.9333333333333333,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_untreated_r1,standard,none,0.0,xMIC,-0.36245747235822906,-0.49208084344382874,-0.3311384512513639,-0.07497188378199034,-0.1588845304425229,-0.033841216365703565,-0.015102394681592878,-0.003123828490916264,4.834578699025543,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_A_untreated_r2,standard,none,0.0,xMIC,-0.3555284302160068,-0.5185578131199288,-0.29415640735856935,-0.10004453225880729,-0.13935711428114222,-0.01946546203286507,-0.014813684592333615,-0.004168522177450304,3.5537017584957353,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_INH10x_r2,standard,isoniazid,10.0,xMIC,0.9167868527754138,0.8039272922909851,1.1379472385772709,-0.0671907304622007,-0.22087832145590347,-0.005648232381831529,0.038199452198975574,-0.0027996137692583626,-13.644543621849268,0.9333333333333333,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_INH10x_r3,standard,isoniazid,10.0,xMIC,0.8933514639124671,0.8065471185657893,1.0498070906568713,-0.1558918596378289,-0.24198557323758968,-0.07691555655742974,0.03722297766301946,-0.006495494151576204,-5.7305844319768795,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_INH1x_r1,standard,isoniazid,1.0,xMIC,0.5414816507251545,0.44933642632274506,0.7093154946938456,-0.26599396810665027,-0.3110750649255422,-0.203155386620197,0.022561735446881438,-0.01108308200444376,-2.03569146540965,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_MXF10x_r1,standard,moxifloxacin,10.0,xMIC,0.41239924370295106,0.28914676336773365,0.5649313800023001,0.23260191888864515,0.10474077114884722,0.4143888899644379,0.017183301820956294,0.009691746620360214,1.7729829817112615,0.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_MXF10x_r2,standard,moxifloxacin,10.0,xMIC,0.37536545517802417,0.22260645688359576,0.4548888191072906,0.07064693596770237,0.0020377192702477395,0.13221249068054708,0.01564022729908434,0.0029436223319875988,5.313258813512165,0.06666666666666667,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_MXF10x_r3,standard,moxifloxacin,10.0,xMIC,0.3596578086907831,0.2685145678336486,0.4921773919456884,0.20337103688018954,0.060542899693022185,0.3460538254534248,0.01498574202878263,0.008473793203341231,1.768480970585136,0.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
era4tb,era4tb_B_MXF1x_r1,standard,moxifloxacin,1.0,xMIC,-0.09996290421900268,-0.20514725858759814,0.026032646984745774,-0.16162299783628542,-0.24324851573051615,-0.08597504655438727,-0.004165121009125112,-0.006734291576511893,0.6184943080950597,1.0,log10 per day unless the column name says per hour,-0.02371326703960584,6.92445303860748,0.0491710682256323,0.2742777336329816,99,0.34136634165928464,0.0005444074900571664,0.2621115050966541,0.00877120692962598,64,46,0.71875,"{""INH10x"": ""10/13"", ""INH1x"": ""15/15"", ""MXF10x"": ""5/18"", ""MXF1x"": ""16/18""}",44,35
