unit_group,time_days,plated_volume_uL,limit_log10,observed_blank,observed_y_log10,predicted_p_blank,mu_median,mu_q05,mu_q95,fold
era4tb_A_INH1x_r2,2.0,10.0,2.0,0,2.47712125471966,0.29773137375203923,2.208783054453585,2.0239184564238815,2.3176285223379867,in-sample
era4tb_A_INH1x_r2,2.0,2.5,2.6020599913279625,1,,0.6181859704715497,2.208783054453585,2.0239184564238815,2.3176285223379867,in-sample
era4tb_A_INH1x_r2,3.0,100.0,1.0,0,1.84509804001426,0.05846332230771302,1.9849939190642885,1.8043056549710046,2.069530902616301,in-sample
era4tb_A_INH1x_r2,3.0,10.0,2.0,1,,0.4186952714322438,1.9849939190642885,1.8043056549710046,2.069530902616301,in-sample
era4tb_A_INH1x_r2,3.0,10.0,2.0,1,,0.4186952714322438,1.9849939190642885,1.8043056549710046,2.069530902616301,in-sample
era4tb_A_INH1x_r2,3.0,2.5,2.6020599913279625,0,2.60205999132796,0.7265363136777518,1.9849939190642885,1.8043056549710046,2.069530902616301,in-sample
era4tb_A_INH1x_r2,7.0,100.0,1.0,1,,0.3797502600025735,1.1281055901390689,0.730733918476289,1.2684415797597017,in-sample
era4tb_A_INH1x_r2,7.0,10.0,2.0,1,,0.8361357832083703,1.1281055901390689,0.730733918476289,1.2684415797597017,in-sample
era4tb_A_INH1x_r2,7.0,10.0,2.0,1,,0.8361357832083703,1.1281055901390689,0.730733918476289,1.2684415797597017,in-sample
era4tb_A_INH1x_r2,7.0,2.5,2.6020599913279625,1,,0.9496059624649603,1.1281055901390689,0.730733918476289,1.2684415797597017,in-sample
era4tb_A_INH1x_r2,10.0,100.0,1.0,0,1.95424250943932,0.10525083232782279,1.7179811313229125,1.52801738933851,1.9688261307599784,in-sample
era4tb_A_INH1x_r2,10.0,10.0,2.0,1,,0.5488087631725701,1.7179811313229125,1.52801738933851,1.9688261307599784,in-sample
era4tb_A_INH1x_r2,10.0,10.0,2.0,0,2.0,0.5488087631725701,1.7179811313229125,1.52801738933851,1.9688261307599784,in-sample
era4tb_A_INH1x_r2,10.0,2.5,2.6020599913279625,1,,0.8131307913647394,1.7179811313229125,1.52801738933851,1.9688261307599784,in-sample
era4tb_A_INH1x_r2,14.0,100.0,1.0,0,2.49136169383427,0.023527748431766835,2.674820848289953,2.3151954252961175,3.0004559687923122,in-sample
era4tb_A_INH1x_r2,14.0,10.0,2.0,0,3.0,0.13431411083059872,2.674820848289953,2.3151954252961175,3.0004559687923122,in-sample
era4tb_A_INH1x_r2,14.0,10.0,2.0,1,,0.13431411083059872,2.674820848289953,2.3151954252961175,3.0004559687923122,in-sample
era4tb_A_INH1x_r2,14.0,2.5,2.6020599913279625,1,,0.38380382998022966,2.674820848289953,2.3151954252961175,3.0004559687923122,in-sample
era4tb_A_INH1x_r2,21.0,100.0,1.0,0,4.79239168949825,0.020478609196259916,4.56025922897324,3.9833097198116034,5.0233493325922165,in-sample
era4tb_A_INH1x_r2,21.0,10.0,2.0,0,4.34242268082221,0.020529766511232884,4.56025922897324,3.9833097198116034,5.0233493325922165,in-sample
era4tb_A_INH1x_r2,21.0,10.0,2.0,0,4.25527250510331,0.020529766511232884,4.56025922897324,3.9833097198116034,5.0233493325922165,in-sample
era4tb_A_INH1x_r2,21.0,2.5,2.6020599913279625,0,4.55630250076729,0.02187795816514499,4.56025922897324,3.9833097198116034,5.0233493325922165,in-sample
era4tb_A_INH1x_r3,1.0,100.0,1.0,0,2.44715803134222,0.02291246931987271,2.669936227277006,2.378142527251311,2.8786819393958787,in-sample
era4tb_A_INH1x_r3,1.0,10.0,2.0,0,2.60205999132796,0.12431519522785894,2.669936227277006,2.378142527251311,2.8786819393958787,in-sample
era4tb_A_INH1x_r3,1.0,10.0,2.0,0,2.95424250943932,0.12431519522785894,2.669936227277006,2.378142527251311,2.8786819393958787,in-sample
era4tb_A_INH1x_r3,1.0,2.5,2.6020599913279625,0,3.38021124171161,0.37128881791178886,2.669936227277006,2.378142527251311,2.8786819393958787,in-sample
era4tb_A_INH1x_r3,2.0,100.0,1.0,0,2.25527250510331,0.04883538685994298,2.0937111054591426,1.805102038900192,2.366281499421496,in-sample
era4tb_A_INH1x_r3,2.0,10.0,2.0,1,,0.3567793989396348,2.0937111054591426,1.805102038900192,2.366281499421496,in-sample
era4tb_A_INH1x_r3,2.0,10.0,2.0,0,2.47712125471966,0.3567793989396348,2.0937111054591426,1.805102038900192,2.366281499421496,in-sample
era4tb_A_INH1x_r3,2.0,2.5,2.6020599913279625,1,,0.6682505301824545,2.0937111054591426,1.805102038900192,2.366281499421496,in-sample
era4tb_A_INH1x_r3,3.0,100.0,1.0,0,1.84509804001426,0.07813587922494694,1.8644941253431961,1.575823108870474,2.12067682793778,in-sample
era4tb_A_INH1x_r3,3.0,10.0,2.0,1,,0.47411591038485196,1.8644941253431961,1.575823108870474,2.12067682793778,in-sample
era4tb_A_INH1x_r3,3.0,10.0,2.0,1,,0.47411591038485196,1.8644941253431961,1.575823108870474,2.12067682793778,in-sample
era4tb_A_INH1x_r3,3.0,2.5,2.6020599913279625,1,,0.7634570367294021,1.8644941253431961,1.575823108870474,2.12067682793778,in-sample
