design,reading,prior,culture_age_days,sample_day,isolate_index,n0_mpn_ml,recorded_class,p_low,p_medium,p_high,dominant_class,p_dominant,verdict
triplicate,pattern,logflat,15,5,148,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,148,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,148,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,148,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,161,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,15,5,161,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
triplicate,censor,logflat,15,5,161,230000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,161,230000.0,Low,0.9996,0.0004,0.0,Low,0.9996,confirmed
triplicate,pattern,logflat,15,5,167,23000.0,Medium,0.5223,0.4771,0.0001,Low,0.5223,refused
triplicate,pattern,flat,15,5,167,23000.0,Medium,0.2515,0.7473,0.0009,Medium,0.7473,refused
triplicate,censor,logflat,15,5,167,23000.0,Medium,0.9509,0.049,0.0,Low,0.9509,contradicted
triplicate,censor,flat,15,5,167,23000.0,Medium,0.555,0.4443,0.0004,Low,0.555,refused
triplicate,pattern,logflat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,15,5,186,6100000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,flat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,logflat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,censor,flat,60,5,43,610000.0,Low,1.0,0.0,0.0,Low,1.0,confirmed
triplicate,pattern,logflat,60,5,49,230000.0,Low,0.9999,0.0001,0.0,Low,0.9999,confirmed
triplicate,pattern,flat,60,5,49,230000.0,Low,0.9991,0.0009,0.0,Low,0.9991,confirmed
